"iv_malla_modi_id";"ano";"ndvi_i";"lng";"lat"
155022;2000;0.47;-3.26116311555357;37.1589115582012
155022;2001;0.52;-3.26116311555357;37.1589115582012
155022;2002;0.51;-3.26116311555357;37.1589115582012
155022;2003;0.50;-3.26116311555357;37.1589115582012
155022;2004;0.46;-3.26116311555357;37.1589115582012
155022;2005;0.46;-3.26116311555357;37.1589115582012
155022;2006;0.54;-3.26116311555357;37.1589115582012
155022;2007;0.52;-3.26116311555357;37.1589115582012
155022;2008;0.36;-3.26116311555357;37.1589115582012
155022;2009;0.46;-3.26116311555357;37.1589115582012
155022;2010;0.46;-3.26116311555357;37.1589115582012
155022;2011;0.48;-3.26116311555357;37.1589115582012
155022;2012;0.48;-3.26116311555357;37.1589115582012
155023;2000;0.47;-3.25854903013545;37.1589115582012
155023;2001;0.52;-3.25854903013545;37.1589115582012
155023;2002;0.51;-3.25854903013545;37.1589115582012
155023;2003;0.50;-3.25854903013545;37.1589115582012
155023;2004;0.44;-3.25854903013545;37.1589115582012
155023;2005;0.45;-3.25854903013545;37.1589115582012
155023;2006;0.54;-3.25854903013545;37.1589115582012
155023;2007;0.50;-3.25854903013545;37.1589115582012
155023;2008;0.36;-3.25854903013545;37.1589115582012
155023;2009;0.46;-3.25854903013545;37.1589115582012
155023;2010;0.45;-3.25854903013545;37.1589115582012
155023;2011;0.47;-3.25854903013545;37.1589115582012
155023;2012;0.48;-3.25854903013545;37.1589115582012
155024;2000;0.48;-3.25593494471732;37.1589115582012
155024;2001;0.54;-3.25593494471732;37.1589115582012
155024;2002;0.51;-3.25593494471732;37.1589115582012
155024;2003;0.50;-3.25593494471732;37.1589115582012
155024;2004;0.45;-3.25593494471732;37.1589115582012
155024;2005;0.45;-3.25593494471732;37.1589115582012
155024;2006;0.54;-3.25593494471732;37.1589115582012
155024;2007;0.51;-3.25593494471732;37.1589115582012
155024;2008;0.38;-3.25593494471732;37.1589115582012
155024;2009;0.47;-3.25593494471732;37.1589115582012
155024;2010;0.46;-3.25593494471732;37.1589115582012
155024;2011;0.46;-3.25593494471732;37.1589115582012
155024;2012;0.47;-3.25593494471732;37.1589115582012
155025;2000;0.50;-3.25332085929919;37.1589115582012
155025;2001;0.56;-3.25332085929919;37.1589115582012
155025;2002;0.52;-3.25332085929919;37.1589115582012
155025;2003;0.54;-3.25332085929919;37.1589115582012
155025;2004;0.47;-3.25332085929919;37.1589115582012
155025;2005;0.49;-3.25332085929919;37.1589115582012
155025;2006;0.57;-3.25332085929919;37.1589115582012
155025;2007;0.54;-3.25332085929919;37.1589115582012
155025;2008;0.41;-3.25332085929919;37.1589115582012
155025;2009;0.49;-3.25332085929919;37.1589115582012
155025;2010;0.47;-3.25332085929919;37.1589115582012
155025;2011;0.48;-3.25332085929919;37.1589115582012
155025;2012;0.48;-3.25332085929919;37.1589115582012
154341;2000;0.50;-3.2664813075539;37.1609948883124
154341;2001;0.55;-3.2664813075539;37.1609948883124
154341;2002;0.52;-3.2664813075539;37.1609948883124
154341;2003;0.52;-3.2664813075539;37.1609948883124
154341;2004;0.48;-3.2664813075539;37.1609948883124
154341;2005;0.47;-3.2664813075539;37.1609948883124
154341;2006;0.56;-3.2664813075539;37.1609948883124
154341;2007;0.54;-3.2664813075539;37.1609948883124
154341;2008;0.38;-3.2664813075539;37.1609948883124
154341;2009;0.45;-3.2664813075539;37.1609948883124
154341;2010;0.47;-3.2664813075539;37.1609948883124
154341;2011;0.50;-3.2664813075539;37.1609948883124
154341;2012;0.46;-3.2664813075539;37.1609948883124
154342;2000;0.50;-3.26386715009205;37.1609948883124
154342;2001;0.56;-3.26386715009205;37.1609948883124
154342;2002;0.53;-3.26386715009205;37.1609948883124
154342;2003;0.53;-3.26386715009205;37.1609948883124
154342;2004;0.49;-3.26386715009205;37.1609948883124
154342;2005;0.48;-3.26386715009205;37.1609948883124
154342;2006;0.57;-3.26386715009205;37.1609948883124
154342;2007;0.54;-3.26386715009205;37.1609948883124
154342;2008;0.39;-3.26386715009205;37.1609948883124
154342;2009;0.47;-3.26386715009205;37.1609948883124
154342;2010;0.49;-3.26386715009205;37.1609948883124
154342;2011;0.50;-3.26386715009205;37.1609948883124
154342;2012;0.47;-3.26386715009205;37.1609948883124
154343;2000;0.49;-3.26125299263019;37.1609948883124
154343;2001;0.56;-3.26125299263019;37.1609948883124
154343;2002;0.55;-3.26125299263019;37.1609948883124
154343;2003;0.53;-3.26125299263019;37.1609948883124
154343;2004;0.50;-3.26125299263019;37.1609948883124
154343;2005;0.48;-3.26125299263019;37.1609948883124
154343;2006;0.58;-3.26125299263019;37.1609948883124
154343;2007;0.57;-3.26125299263019;37.1609948883124
154343;2008;0.40;-3.26125299263019;37.1609948883124
154343;2009;0.50;-3.26125299263019;37.1609948883124
154343;2010;0.49;-3.26125299263019;37.1609948883124
154343;2011;0.51;-3.26125299263019;37.1609948883124
154343;2012;0.50;-3.26125299263019;37.1609948883124
154344;2000;0.50;-3.25863883516834;37.1609948883124
154344;2001;0.57;-3.25863883516834;37.1609948883124
154344;2002;0.55;-3.25863883516834;37.1609948883124
154344;2003;0.54;-3.25863883516834;37.1609948883124
154344;2004;0.49;-3.25863883516834;37.1609948883124
154344;2005;0.49;-3.25863883516834;37.1609948883124
154344;2006;0.59;-3.25863883516834;37.1609948883124
154344;2007;0.55;-3.25863883516834;37.1609948883124
154344;2008;0.40;-3.25863883516834;37.1609948883124
154344;2009;0.49;-3.25863883516834;37.1609948883124
154344;2010;0.49;-3.25863883516834;37.1609948883124
